GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,UserDetailsImpl,2,43,2,2,0,10,2,8,0,8
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,InternshipCount,0,24,0,0,0,3,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,ContractDTO,226,47,42,0,0,8,30,9,9,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,ReviewState,0,48,0,0,0,6,0,3,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,SimpleResponse,0,34,0,0,0,4,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,InterviewState,0,34,0,0,0,4,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,StudentApplicationState,0,84,0,0,0,9,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,SimpleNumbers,0,44,0,0,0,5,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,ContractDTO.ContractDTOBuilder,14,49,0,0,0,1,1,8,1,8
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,PasswordUpdateStatus,0,44,0,0,0,2,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,UserDetailsServiceImpl,0,26,0,2,0,7,0,3,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,EmailContentsType,0,64,0,0,0,7,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,SemesterContext,8,34,1,3,1,8,1,6,0,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,AuthenticationDTO,164,55,38,0,0,11,23,10,4,10
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,PasswordDTO.PasswordDTOBuilder,8,28,0,0,0,1,1,5,1,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,ContractSignatureState,0,81,0,6,0,14,0,6,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,UserType,34,0,0,0,2,0,1,0,1,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,PasswordDTO,89,79,21,9,0,5,20,7,5,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,ContractSignatureDTO.ContractSignatureDTOBuilder,17,37,0,0,0,1,2,6,2,6
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,ContractSignatureDTO,183,49,36,0,0,7,24,10,6,10
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.util,Opinion,0,54,0,0,0,6,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.config,DiscriminatorHeaderServletFilter,6,62,4,8,2,17,4,4,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.config,QuartzConfig,0,27,0,0,0,13,0,3,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.config,ReactConfig,0,36,0,0,0,7,0,3,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.config,SecurityConfig,0,210,0,0,0,42,0,7,0,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.config,SpringFoxConfig,0,15,0,0,0,6,0,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.config,NoPopupBasicAuthenticationEntrypoint,6,23,2,2,1,7,2,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.job,InterviewCullingJob,0,34,0,0,0,11,0,3,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj,TheUltimateInternshipManagerSoftwarePlatformForCollegeAndUniversityPlusPoweredByJavaApplication.BootstrapConfig,20,289,1,15,6,37,1,10,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,StudentService,0,80,0,2,0,20,0,8,0,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,NotificationService,0,420,0,6,0,70,0,17,0,12
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,InternshipOfferService,2,208,1,7,0,47,1,24,0,21
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,EmployerService,0,77,0,2,0,19,0,8,0,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,InterviewService,0,81,0,2,0,20,0,11,0,10
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,MailSendingService,18,344,0,25,2,73,1,28,1,10
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,ContractGenerationService,3,1002,0,18,0,146,0,23,0,14
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,SemesterService,0,36,0,4,0,11,0,5,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,RsocketNotificationService,17,155,2,8,4,32,2,14,0,11
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,ReportService,0,95,0,0,0,16,0,12,0,12
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,ContractService,0,89,0,2,0,23,0,10,0,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,InternEvaluationService,0,28,0,0,0,8,0,5,0,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,AdminService,0,105,0,4,0,22,0,11,0,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,BusinessEvaluationService,0,28,0,0,0,8,0,5,0,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,StudentApplicationService,0,149,2,4,0,35,2,10,0,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,ResumeService,0,105,0,0,0,29,0,13,0,13
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.service,AuthenticationService,0,111,0,6,0,24,0,11,0,8
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternshipOffer.InternshipOfferDetails.InternshipOfferDetailsBuilder,20,70,0,0,0,1,1,11,1,11
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Notification.NotificationBuilder,36,0,0,0,1,0,6,0,6,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,User.UserBuilder,18,27,0,0,0,1,2,5,2,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternshipOffer.InternshipOfferBuilder,22,116,0,0,0,1,1,12,1,12
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Interview,143,154,29,15,1,9,24,18,3,17
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Notification,142,20,23,1,4,3,22,3,10,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,BusinessEvaluation.Observations,345,0,50,0,11,0,50,0,25,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,StudentApplication.StudentApplicationBuilder,18,83,0,4,0,1,1,12,1,10
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Resume.ResumeBuilder,16,90,0,0,0,1,1,10,1,10
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Student.StudentBuilderImpl,0,7,0,0,0,1,0,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Admin,128,22,24,0,5,3,21,4,9,4
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.PersonalSkills,315,0,62,0,8,0,50,0,19,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,BusinessEvaluation.EvaluationCriterias,615,0,110,0,17,0,92,0,37,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.GlobalAppreciation,155,0,30,0,4,0,26,0,11,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.InternEvaluationBuilder,62,37,0,0,0,1,9,4,9,4
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Employer.EmployerBuilderImpl,0,7,0,0,0,1,0,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternshipOffer.InternshipOfferBuilderImpl,0,7,0,0,0,1,0,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Resume.ResumeBuilderImpl,0,7,0,0,0,1,0,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,User,60,190,16,22,1,8,19,17,3,14
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.ProductivityCriterias,275,0,54,0,7,0,44,0,17,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Contract,388,167,84,0,1,16,48,27,6,27
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.GeneralInfo,155,0,30,0,4,0,26,0,11,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Student.StudentBuilder,28,51,0,0,0,1,2,9,2,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Student,115,367,37,43,1,14,35,32,2,25
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.WorkQualityCriterias,275,0,54,0,7,0,44,0,17,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.Expectations,0,54,0,0,0,6,0,1,0,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Admin.AdminBuilder,14,9,0,0,0,1,2,2,2,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.InterpersonalRelationsCriterias,315,0,62,0,8,0,50,0,19,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,BusinessEvaluation,144,130,28,14,0,10,23,16,3,15
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Resume,176,207,32,26,1,10,26,27,3,21
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternshipOffer.InternshipOfferDetails,187,217,42,24,0,13,32,26,2,23
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,StudentApplication,72,319,35,23,0,13,30,25,1,25
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation.Feedback,140,0,24,0,4,0,23,0,11,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Interview.InterviewBuilderImpl,0,7,0,0,0,1,0,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternEvaluation,274,230,58,24,0,15,43,26,3,25
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,InternshipOffer,202,252,35,33,1,13,29,33,3,25
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,SemesterDiscriminatedEntity.SemesterDiscriminatedEntityBuilder,4,21,0,0,0,1,1,4,1,4
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,BusinessEvaluation.BusinessEvaluationBuilder,32,22,0,0,0,1,5,3,5,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Employer,188,197,37,27,1,12,31,24,4,19
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Signature,155,0,30,0,4,0,26,0,11,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Admin.AdminBuilderImpl,0,7,0,0,0,1,0,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,SemesterDiscriminatedEntity,35,68,12,8,2,6,13,7,3,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Employer.EmployerBuilder,24,39,0,0,0,1,2,7,2,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Contract.ContractBuilder,26,101,0,2,0,1,1,15,1,14
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Interview.InterviewBuilder,14,72,0,0,0,1,1,8,1,8
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,SemesterRepository,6,3,0,0,2,1,1,1,1,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,InternshipOfferRepository,13,0,0,0,3,0,3,0,3,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,StudentRepository,6,0,0,0,1,0,1,0,1,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,SemesterAspect,0,23,0,2,0,6,0,3,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,ResumeRepository,4,0,0,0,1,0,1,0,1,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,StudentController,0,49,0,0,0,13,0,7,0,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,SecurityDemoController,0,7,0,0,0,3,0,3,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,AuthenticationController,0,35,0,4,0,10,0,6,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,ContractGenerationController,0,30,0,2,0,6,0,4,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,ReportsController,66,6,0,0,11,3,11,1,11,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,ResumeController,0,65,0,0,0,17,0,9,0,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,InternEvaluationController,0,31,0,0,0,10,0,5,0,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,InterviewController,0,66,0,0,0,17,0,9,0,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,StudentApplicationController,4,58,0,0,1,14,1,7,1,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,BusinessEvaluationController,0,31,0,0,0,10,0,5,0,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,EmployerController,0,49,0,0,0,13,0,7,0,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,SemesterController,0,22,0,2,0,8,0,4,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,AdminController,51,6,0,0,10,3,7,1,7,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,NotificationController,9,6,0,0,2,3,1,1,1,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,InternshipOfferController,0,87,0,0,0,22,0,12,0,12
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,ContractController,0,36,0,0,0,11,0,6,0,6
